Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"Object-Oriented Programming is based on objects and consists of Encapsulation, Abstraction, Inheritance, and Polymorphism. It improves code reusability, maintainability, and scalability."
Software Engineer,Easy,What is the difference between Array and Linked List?,"Arrays use contiguous memory and provide fast indexing, whereas Linked Lists use nodes connected through pointers, making insertion and deletion efficient."
Software Engineer,Easy,What is recursion?,Recursion is a technique where a function calls itself until a base condition is reached.
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides fast insertion, deletion, and lookup operations."
Software Engineer,Easy,What is time complexity?,Time complexity measures how an algorithm's running time increases with input size using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS explores nodes level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,Normalization organizes data into normal forms to reduce redundancy and improve integrity.
Software Engineer,Medium,What are ACID properties?,"Atomicity, Consistency, Isolation, and Durability ensure reliable database transactions."
Software Engineer,Medium,Explain multithreading.,Multithreading allows multiple threads to execute concurrently within a process.
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming solves overlapping subproblems by storing previously computed results.
Software Engineer,Hard,Design an LRU Cache.,Implement using a HashMap and Doubly Linked List for O(1) get() and put() operations.
Software Engineer,Hard,Explain CAP Theorem.,"A distributed system can guarantee only two among Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a slow application?,"Use profiling, optimize algorithms, improve SQL queries, add caching, and scale services."
Software Engineer,Hard,Design an online banking backend.,"Use secure authentication, ACID transactions, encryption, scalable APIs, logging, monitoring, and failover mechanisms."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices divide applications into independently deployable services communicating through APIs.
Python Developer,Easy,What is the difference between List and Tuple?,Lists are mutable whereas tuples are immutable.
Python Developer,Easy,What are Python decorators?,Decorators extend function behavior without modifying source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs using hashing.
Python Developer,Easy,Explain lambda functions.,Lambda functions are anonymous functions consisting of a single expression.
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, variables, and classes."
Python Developer,Medium,Explain generators.,"Generators use yield to generate values lazily, reducing memory consumption."
Python Developer,Medium,Explain *args and **kwargs.,*args accepts positional arguments whereas **kwargs accepts keyword arguments.
Python Developer,Medium,Explain list comprehension.,List comprehension provides concise syntax for creating lists.
