Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"OOP is a programming paradigm based on objects. Its four pillars are Encapsulation, Abstraction, Inheritance, and Polymorphism, improving code reusability and maintainability."
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides average O(1) insertion, deletion, and lookup operations."
Software Engineer,Easy,Difference between Array and Linked List?,"Arrays provide fast random access, whereas Linked Lists provide efficient insertions and deletions using pointers."
Software Engineer,Easy,What is recursion?,Recursion is a technique where a function calls itself until a base condition is met.
Software Engineer,Easy,What is time complexity?,Time complexity measures how the execution time of an algorithm grows with input size using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS explores level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization reduces redundancy using 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,What are ACID properties?,"Atomicity, Consistency, Isolation, and Durability ensure reliable database transactions."
Software Engineer,Medium,Explain multithreading.,Multithreading allows multiple threads within a process to execute concurrently.
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming solves overlapping subproblems by storing computed results.
Software Engineer,Hard,Design an LRU Cache.,Implement an LRU Cache using a HashMap and Doubly Linked List to achieve O(1) get() and put() operations.
Software Engineer,Hard,Design Facebook News Feed.,"Use fan-out strategies, distributed storage, ranking algorithms, caching, load balancing, and asynchronous processing to generate personalized feeds."
Software Engineer,Hard,Explain CAP Theorem.,"Distributed systems can guarantee only two among Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a large-scale application?,"Use profiling, caching, efficient algorithms, database optimization, horizontal scaling, and monitoring."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices divide applications into independently deployable services communicating via APIs or messaging systems.
Python Developer,Easy,What is the difference between List and Tuple?,Lists are mutable whereas tuples are immutable.
Python Developer,Easy,What are Python decorators?,Decorators extend function behavior without modifying source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs using hashing for fast lookup.
Python Developer,Easy,Explain lambda functions.,Lambda functions are anonymous functions consisting of a single expression.
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, variables, and classes."
Python Developer,Medium,Explain generators.,"Generators use yield to generate values lazily, reducing memory consumption."
Python Developer,Medium,Explain *args and **kwargs.,*args accepts positional arguments whereas **kwargs accepts keyword arguments.
