Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"Object-Oriented Programming (OOP) is a programming paradigm based on objects. The four pillars are Encapsulation, Abstraction, Inheritance, and Polymorphism. It improves code reusability, maintainability, and scalability."
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides average O(1) insertion, deletion, and lookup operations."
Software Engineer,Easy,What is the difference between Array and Linked List?,"Arrays provide fast random access using contiguous memory, whereas Linked Lists consist of nodes connected by pointers, making insertions and deletions efficient."
Software Engineer,Easy,What is recursion?,Recursion is a technique where a function calls itself until a base condition is reached.
Software Engineer,Easy,What is time complexity?,Time complexity measures how an algorithm's execution time grows with input size using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS explores nodes level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization reduces redundancy and improves database integrity using normal forms such as 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,What are ACID properties?,"ACID stands for Atomicity, Consistency, Isolation, and Durability, ensuring reliable database transactions."
Software Engineer,Medium,Explain multithreading.,"Multithreading enables multiple threads to execute concurrently within a process, improving responsiveness."
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming stores solutions to overlapping subproblems to improve efficiency.
Software Engineer,Hard,Design an LRU Cache.,Implement using a HashMap and Doubly Linked List to achieve O(1) get() and put() operations.
Software Engineer,Hard,Explain CAP Theorem.,"CAP states that distributed systems can guarantee only two among Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a slow application?,"Use profiling tools, optimize algorithms, improve database queries, implement caching, and scale services horizontally."
Software Engineer,Hard,Design a URL Shortener.,"Use Base62 encoding, distributed databases, caching, load balancing, and unique ID generation."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices divide applications into independently deployable services communicating through APIs or message queues.
Python Developer,Easy,What is the difference between List and Tuple?,"Lists are mutable, whereas tuples are immutable."
Python Developer,Easy,What are Python decorators?,Decorators modify the behavior of functions without changing their source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs and provides fast lookups using hashing.
Python Developer,Easy,Explain lambda functions.,"Lambda functions are anonymous functions used for short, single-expression operations."
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, classes, and variables."
Python Developer,Medium,Explain generators.,"Generators use the yield keyword to produce values lazily, making them memory efficient."
