Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,Explain Object-Oriented Programming (OOP).,"Object-Oriented Programming (OOP) is based on objects and consists of Encapsulation, Abstraction, Inheritance, and Polymorphism. It improves code reusability, maintainability, and scalability."
Software Engineer,Easy,What is a HashMap?,"HashMap stores key-value pairs using hashing and provides average O(1) insertion, deletion, and retrieval."
Software Engineer,Easy,Difference between Array and Linked List?,"Arrays use contiguous memory and provide fast indexing, whereas Linked Lists consist of nodes connected through pointers, making insertions and deletions efficient."
Software Engineer,Easy,What is recursion?,Recursion is a programming technique where a function calls itself until a base condition is reached.
Software Engineer,Easy,What is time complexity?,Time complexity measures how an algorithm's running time grows with input size using Big O notation.
Software Engineer,Medium,Difference between BFS and DFS?,"BFS explores nodes level by level using a queue, whereas DFS explores deeply using recursion or a stack."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization organizes database tables to reduce redundancy using normal forms such as 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,What are ACID properties?,"Atomicity, Consistency, Isolation, and Durability ensure reliable database transactions."
Software Engineer,Medium,Explain multithreading.,Multithreading allows multiple threads to execute concurrently within a process.
Software Engineer,Medium,What is Dynamic Programming?,Dynamic Programming stores solutions to overlapping subproblems to improve efficiency.
Software Engineer,Hard,Design an LRU Cache.,Implement using a HashMap and Doubly Linked List to achieve O(1) get() and put() operations.
Software Engineer,Hard,Explain CAP Theorem.,"A distributed system can guarantee only two among Consistency, Availability, and Partition Tolerance simultaneously."
Software Engineer,Hard,How would you optimize a database-driven application?,"Optimize SQL queries, use indexing, caching, connection pooling, efficient algorithms, and horizontal scaling."
Software Engineer,Hard,Design a distributed transaction system.,"Use distributed databases, two-phase commit when required, idempotent APIs, message queues, retries, and monitoring."
Software Engineer,Hard,Explain Microservices Architecture.,Microservices split applications into independently deployable services communicating through APIs or messaging.
Python Developer,Easy,What is the difference between List and Tuple?,Lists are mutable whereas tuples are immutable.
Python Developer,Easy,What are Python decorators?,Decorators modify the behavior of functions without changing their source code.
Python Developer,Easy,What is a dictionary?,A dictionary stores key-value pairs using hashing for fast lookup.
Python Developer,Easy,Explain lambda functions.,Lambda functions are anonymous single-expression functions.
Python Developer,Easy,What are Python modules?,"Modules are reusable Python files containing functions, variables, and classes."
Python Developer,Medium,Explain generators.,"Generators use yield to generate values lazily, making them memory efficient."
Python Developer,Medium,Explain *args and **kwargs.,*args accepts positional arguments whereas **kwargs accepts keyword arguments.
