Role,Difficulty,Question,Answer
Role,Difficulty,Question,Answer
Software Engineer,Easy,What are the four pillars of Object-Oriented Programming?,"The four pillars of OOP are Encapsulation, Abstraction, Inheritance, and Polymorphism. These concepts improve code reusability, maintainability, and scalability."
Software Engineer,Easy,What is the difference between Array and Linked List?,"Arrays store elements in contiguous memory and provide O(1) random access, whereas Linked Lists store nodes connected by pointers, making insertions and deletions more efficient."
Software Engineer,Easy,What is the difference between Compiler and Interpreter?,"A compiler translates the entire program before execution, whereas an interpreter translates and executes code line by line."
Software Engineer,Easy,What is a HashMap?,"A HashMap stores key-value pairs using hashing. It provides average O(1) time complexity for insertion, deletion, and lookup."
Software Engineer,Easy,What is SDLC?,"Software Development Life Cycle (SDLC) is a structured process for software development consisting of Requirement Analysis, Design, Development, Testing, Deployment, and Maintenance."
Software Engineer,Medium,Explain DBMS normalization.,"Normalization is the process of organizing database tables to reduce redundancy and improve data integrity. Common normal forms include 1NF, 2NF, 3NF, and BCNF."
Software Engineer,Medium,Difference between BFS and DFS?,"Breadth-First Search (BFS) explores nodes level by level using a queue, whereas Depth-First Search (DFS) explores nodes deeply using a stack or recursion."
Software Engineer,Medium,What are ACID properties?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These properties ensure reliable and consistent database transactions."
Software Engineer,Medium,What is multithreading?,"Multithreading allows multiple threads to execute concurrently within the same process, improving responsiveness and resource utilization."
Software Engineer,Medium,Explain Agile methodology.,Agile is an iterative software development methodology where work is completed in short sprints with continuous customer feedback and frequent releases.
Software Engineer,Hard,Write an SQL query to find the second highest salary.,SELECT MAX(salary) FROM employees WHERE salary < (SELECT MAX(salary) FROM employees);
Software Engineer,Hard,What is time complexity?,"Time complexity measures how the execution time of an algorithm grows with input size. It is commonly expressed using Big O notation such as O(1), O(log n), O(n), and O(n²)."
Software Engineer,Hard,Explain Deadlock and its prevention.,"Deadlock occurs when multiple processes wait indefinitely for resources held by each other. Prevention techniques include resource ordering, avoiding circular wait, and timeout mechanisms."
Software Engineer,Hard,What is Dependency Injection?,"Dependency Injection is a design pattern where objects receive their dependencies from external sources instead of creating them internally, improving modularity and testability."
Software Engineer,Hard,How would you design a Library Management System?,"A Library Management System should include modules for user management, book inventory, issue and return tracking, fine calculation, authentication, database management, and reporting while following object-oriented design principles."
Python Developer,Easy,What is the difference between a List and a Tuple?,"Lists are mutable and can be modified after creation, whereas tuples are immutable. Lists use square brackets [], while tuples use parentheses ()."
